name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Old Dalby,primary,NGED,"['11', '33']",11,budget,1,1.5,0,0
Campbell Street,primary,NGED,"['11', '33']",11,budget,1,4.1,0,0
Northampton East,bsp,NGED,['33'],33,budget,0,0,2,38.2
Oakham,bsp,NGED,['33'],33,budget,0,0,2,60
Oakham,primary,NGED,['11'],11,budget,1,1.32,0,0
Wellingborough,bsp,NGED,['33'],33,budget,3,82,5,150
Tamworth,bsp,NGED,['33'],33,budget,1,10,1,10
Tamworth Town,primary,NGED,['11'],11,budget,1,1.125,1,1
Ratcliffe On Soar,gsp,NGED,['132'],132,budget,2,125,5,274.9
Shepshed,primary,NGED,"['11', '33']",11,budget,2,2,1,4.94
Castle Road,primary,NGED,"['11', '33']",11,budget,1,2,0,0
Clifton,primary,NGED,"['11', '33']",11,budget,2,3,0,0
Cotgrave,primary,NGED,"['11', '33']",11,budget,1,1,0,0
North Wilford,primary,NGED,"['11', '33']",11,budget,2,3,0,0
Toton 3,bsp,NGED,['33'],33,budget,0,0,1,30
Ratcliffe On Soar,primary,NGED,"['11', '33']",11,budget,0,0,1,7
Willoughby,bsp,NGED,['33'],33,budget,0,0,2,55
Syston,primary,NGED,"['11', '33']",11,budget,2,7.6,0,0
Staythorpe C,gsp,NGED,['132'],132,budget,2,149,12,678.8
Checkerhouse,bsp,NGED,['33'],33,budget,0,0,12,260
Tuxford,primary,NGED,"['11', '33']",11,budget,1,1,0,0
Grantham South,bsp,NGED,['132'],132,budget,0,0,1,25
Hawton,bsp,NGED,['33'],33,budget,1,3.542,5,140
Newark Junction,primary,NGED,"['11', '33']",11,budget,1,5.5,0,0
Swinderby,primary,NGED,"['11', '33']",11,budget,2,9.1,0,0
Staythorpe B,bsp,NGED,['132'],132,budget,1,30,2,60
Stoke Bardolph,gsp,NGED,['132'],132,budget,1,150,0,0
Nottingham East,bsp,NGED,['33'],33,budget,1,18,1,10
Nottingham North,bsp,NGED,['33'],33,budget,2,43,0,0
Walpole,gsp,NGED,['132'],132,budget,0,0,6,340
Boston,bsp,NGED,['33'],33,budget,0,0,4,100
Marsh Lane,primary,NGED,"['11', '33']",11,budget,1,5,1,5
Mount Bridge Boston,primary,NGED,"['11', '33']",11,budget,1,1.2,0,0
South Holland,bsp,NGED,['33'],33,budget,0,0,1,30
Spalding,bsp,NGED,['132'],132,budget,1,20,0,0
Spalding Clay Lake,bsp,NGED,['33'],33,budget,0,0,3,75
Crown Fm,primary,NGED,"['11', '33']",11,budget,1,5,1,5
Spalding Clay Lake,primary,NGED,['11'],11,budget,2,8.5,1,1.5
Stamford,bsp,NGED,['33'],33,budget,0,0,1,20
Stamford,primary,NGED,['11'],11,budget,1,1.2,0,0
West Burton,gsp,NGED,['132'],132,budget,1,300,8,369.9
Lincoln No 2,primary,NGED,['11'],11,budget,4,13.5,0,0
Lincoln Main No 1,bsp,NGED,['33'],33,budget,1,20,3,90
Doddington Park,primary,NGED,"['11', '33']",11,budget,2,7,0,0
North Hykeham,primary,NGED,"['11', '33']",11,budget,1,1.2,0,0
Rookery Lane Lincoln,primary,NGED,"['11', '33']",11,budget,1,2.911,0,0
Worksop,bsp,NGED,['33'],33,budget,2,17.9,1,30
Kilton Road,primary,NGED,"['11', '33']",11,budget,1,5,0,0
Willington,gsp,NGED,['132'],132,budget,4,214,15,768.9
Derby,primary,NGED,['11'],11,budget,4,4.5,0,0
Chaddesden,primary,NGED,"['11', '33']",11,budget,1,3,0,0
Derby South,bsp,NGED,['33'],33,budget,0,0,2,75
Allenton,primary,NGED,"['11', '33']",11,budget,1,3,0,0
Infinity Park,primary,NGED,"['11', '33']",11,budget,2,3.115,0,0
Silverstone,primary,NGED,"['11', '33']",11,budget,1,1,0,0
Heanor,bsp,NGED,['33'],33,budget,0,0,5,120
Spondon,primary,NGED,['11'],11,budget,2,3.5,0,0
Stanton,bsp,NGED,['33'],33,budget,2,33,1,30
Uttoxeter,bsp,NGED,['33'],33,budget,0,0,2,55
